Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2888610,"April 22, 2024",Virginia,Petersburg,5900 block of Sentry Hill Ct,0,5,0,0,0,N/A,37.1900713,-77.4781818
2887313,"April 22, 2024",Oklahoma,Yukon,2804 Mirage St,4,0,1,0,0,N/A,35.4370984,-97.7401213
2886674,"April 21, 2024",Illinois,Oak Forest,5500 block of Babette Ct,1,3,0,0,1,N/A,41.5984791,-87.7551712
2885854,"April 20, 2024",Tennessee,Memphis,2410 Carnes Ave,2,7,0,0,0,N/A,35.1130802,-89.9820369
2884570,"April 19, 2024",Maryland,Greenbelt,6915 Hanover Pkwy,0,5,0,0,2,N/A,38.9848351,-76.8734698
2884585,"April 19, 2024",District of Columbia,Washington,1211 Mount Olivet Rd NE,0,4,0,0,0,N/A,38.9096267,-76.9846011
2884446,"April 18, 2024",Louisiana,Thibodaux,1400 block of Orange Grove Sq,0,4,0,0,0,N/A,29.8442387,-90.8105494
2881822,"April 16, 2024",New York,Bronx,E Mount Eden Ave and Townsend Ave,1,3,0,0,0,N/A,40.8439831,-73.914753
2881676,"April 16, 2024",North Carolina,Clinton,Boykin Rd and Shaun Ln,1,3,0,0,0,N/A,34.9275477,-78.3451863
2879450,"April 14, 2024",Texas,Dallas,4530 Collins Ave,1,8,0,0,1,N/A,32.775826,-96.7427047
2880126,"April 14, 2024",Kentucky,Hopkinsville,1700 Canton St,0,4,0,0,2,N/A,36.8628601,-87.4960254
2879964,"April 14, 2024",Virginia,Richmond,1300 block of Jennie Scher Rd,1,4,0,0,0,N/A,37.5217718,-77.4006156
2879792,"April 14, 2024",Tennessee,Nashville,480 Bell Rd,0,6,0,0,1,N/A,36.0725399,-86.6355419
2880226,"April 14, 2024",Louisiana,New Orleans,828 S Peters St,1,11,0,0,0,N/A,29.9440505,-90.0657171
2879189,"April 13, 2024",Illinois,Chicago,2021 W 52nd St,1,10,0,0,0,N/A,41.7987456,-87.6754057
2879659,"April 13, 2024",Arkansas,Wynne,Williams Ave and Martin Luther King St,1,9,0,0,3,N/A,35.2312034,-90.7939392
2880895,"April 13, 2024",Georgia,Albany,300 E Broad Ave,0,4,0,0,6,N/A,31.5763863,-84.142081
2880957,"April 13, 2024",Mississippi,Coldwater,W Central St,1,3,0,0,0,N/A,34.6879097,-85.0005215
2877499,"April 11, 2024",Florida,Orlando,2800 block of Gamma Dr,1,3,0,0,0,N/A,28.6235133,-81.4165296
2876444,"April 10, 2024",District of Columbia,Washington,1100 block of 21st Street NE,1,5,0,0,0,N/A,38.9043983,-76.9748819
2873416,"April 7, 2024",Texas,San Antonio,11135 Wye Dr,0,6,0,0,0,N/A,29.5412972,-98.411844
2873450,"April 7, 2024",Oklahoma,Oklahoma City,3034 N Portland Ave,1,3,0,0,0,N/A,35.4987232,-97.5823398
2872613,"April 6, 2024",Florida,Miami (Doral),3450 NW 83rd Ave,1,7,1,0,0,N/A,25.8077199,-80.3317664
2872754,"April 5, 2024",Florida,Palm Beach Gardens (Riviera Beach),West 27th Street and Avenue O,0,4,0,0,0,N/A,26.784933,-80.0554998
